what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.0.v20080506-1939,org.eclipse.equinox.p2.garbagecollector,1228823846301
started,bundle,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.ide,1228823846303
started,bundle,org.eclipse.stp.eid,0.8.0.200806121858,org.eclipse.stp.eid,1228823847201
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1228823847211
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1228823847231
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.0.v200805140020,org.eclipse.wst.common.project.facet.core,1228823847242
started,bundle,org.eclipse.stp.sca,1.0.0.200806121858,org.eclipse.stp.sca,1228823847248
started,bundle,org.eclipse.team.svn.core,0.7.1.I20080612-1500,org.eclipse.team.svn.core,1228823847426
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1228823847431
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1228823848062
started,bundle,org.eclipse.team.svn.ui,0.7.1.I20080612-1500,org.eclipse.team.svn.ui,1228823848062
started,bundle,org.eclipse.emf.ecore.xmi,2.4.0.v200806091234,org.eclipse.emf.ecore.xmi,1228823848084
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1228823848226
started,bundle,org.eclipse.team.cvs.core,3.3.100.I20080605,org.eclipse.team.cvs.core,1228823848229
started,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1228823848253
started,bundle,org.eclipse.emf.validation,1.2.0.v200805170232,org.eclipse.emf.validation,1228823848369
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1228823848498
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228823850167
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1228823933070
started,bundle,org.eclipse.cdt.core,5.0.0.200806171202,org.eclipse.cdt.core,1228823933255
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1228823933770
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1228823933855
started,bundle,org.eclipse.cdt.ui,5.0.0.200806171202,org.eclipse.cdt.ui,1228823933868
started,bundle,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.ui,1228823933888
started,bundle,org.eclipse.cdt.mylyn.ui,1.0.0.200806171202,org.eclipse.cdt.mylyn.ui,1228823934028
